DATA_SOURCE,PRIORITY,CHECK_NAME,TABLE_NAME,DATE,STATUS
Snowflake,L,Duplicates,Customer_Orders,2024-09-09,0
Snowflake,L,Duplicates,Customer_Orders,2024-09-10,2
Snowflake,L,Duplicates,Customer_Orders,2024-09-11,1
Snowflake,L,Duplicates,Customer_Orders,2024-09-12,2
Snowflake,L,Duplicates,Customer_Orders,2024-09-13,0
Snowflake,L,Duplicates,Customer_Orders,2024-09-14,2
Snowflake,L,Duplicates,Customer_Orders,2024-09-15,1
Snowflake,L,Duplicates,Product_Inventory,2024-09-09,1
Snowflake,L,Duplicates,Product_Inventory,2024-09-10,2
Snowflake,L,Duplicates,Product_Inventory,2024-09-11,2
Snowflake,L,Duplicates,Product_Inventory,2024-09-12,2
Snowflake,L,Duplicates,Product_Inventory,2024-09-13,2
Snowflake,L,Duplicates,Product_Inventory,2024-09-14,1
Snowflake,L,Duplicates,Product_Inventory,2024-09-15,1
Snowflake,L,Duplicates,Sales_Transactions,2024-09-09,1
Snowflake,L,Duplicates,Sales_Transactions,2024-09-10,1
Snowflake,L,Duplicates,Sales_Transactions,2024-09-11,1
Snowflake,L,Duplicates,Sales_Transactions,2024-09-12,0
Snowflake,L,Duplicates,Sales_Transactions,2024-09-13,1
Snowflake,L,Duplicates,Sales_Transactions,2024-09-14,2
Snowflake,L,Duplicates,Sales_Transactions,2024-09-15,1
Snowflake,L,Duplicates,Employee_Details,2024-09-09,2
Snowflake,L,Duplicates,Employee_Details,2024-09-10,1
Snowflake,L,Duplicates,Employee_Details,2024-09-11,0
Snowflake,L,Duplicates,Employee_Details,2024-09-12,1
Snowflake,L,Duplicates,Employee_Details,2024-09-13,2
Snowflake,L,Duplicates,Employee_Details,2024-09-14,0
Snowflake,L,Duplicates,Employee_Details,2024-09-15,2
Snowflake,L,Duplicates,Order_Items,2024-09-09,1
Snowflake,L,Duplicates,Order_Items,2024-09-10,1
Snowflake,L,Duplicates,Order_Items,2024-09-11,1
Snowflake,L,Duplicates,Order_Items,2024-09-12,2
Snowflake,L,Duplicates,Order_Items,2024-09-13,1
Snowflake,L,Duplicates,Order_Items,2024-09-14,2
